Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;UNL-AIR;A4:0C:C3:96:A1:40;;6;No;OPN,None;No;54.0;0;70;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;UNL-Conference;A4:0C:C3:90:4F:F4;;1;No;OPN,None;No;54.0;0;42;0;0;0;0;0;;;Thu Jun  9 15:25:24 2016;Thu Jun  9 15:27:38 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;eduroam;A4:0C:C3:90:4F:F5;;1;No;WPA2,AES-CCM;No;54.0;0;39;0;0;0;0;0;;;Thu Jun  9 15:25:24 2016;Thu Jun  9 15:27:34 2016;-57;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;UNL-Guest;A4:0C:C3:90:4F:F2;;1;No;OPN,None;No;54.0;0;30;0;0;0;0;0;;;Thu Jun  9 15:25:24 2016;Thu Jun  9 15:27:34 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;UNL-Wireless-Registration;A4:0C:C3:90:4F:F3;;1;No;OPN,None;No;54.0;0;39;0;0;0;0;0;;;Thu Jun  9 15:25:33 2016;Thu Jun  9 15:27:30 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;UNL-AIR;A4:0C:C3:90:4F:F0;;1;No;OPN,None;No;54.0;0;36;0;2;0;0;2;;;Thu Jun  9 15:25:24 2016;Thu Jun  9 15:27:34 2016;-56;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;UNL-AIR-E;A4:0C:C3:90:4F:F1;;1;No;WPA2,AES-CCM;No;54.0;0;39;0;0;0;0;0;;;Thu Jun  9 15:25:24 2016;Thu Jun  9 15:27:30 2016;-55;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;UNL-AIR-E;AC:A0:16:CB:54:81;;11;No;WPA2,AES-CCM;No;54.0;0;67;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;eduroam;AC:A0:16:CB:54:85;;11;No;WPA2,AES-CCM;No;54.0;0;69;0;25;0;0;25;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:38 2016;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;UNL-Guest;AC:A0:16:CB:54:82;;11;No;OPN,None;No;54.0;0;73;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-49;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;UNL-Wireless-Registration;AC:A0:16:CB:54:83;;11;No;OPN,None;No;54.0;0;67;0;0;0;0;0;;;Thu Jun  9 15:25:28 2016;Thu Jun  9 15:27:38 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;UNL-Conference;AC:A0:16:CB:54:84;;11;No;OPN,None;No;54.0;0;72;0;0;0;0;0;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:38 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;UNL-AIR;AC:A0:16:CB:54:80;;11;No;OPN,None;No;54.0;0;73;0;38;0;0;38;;;Thu Jun  9 15:25:27 2016;Thu Jun  9 15:27:38 2016;-48;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.214.33.9;
40;infrastructure;HPC50152;02:26:96:01:C7:FC;;10;No;OPN,None;No;11.0;0;45;0;0;0;0;0;;;Thu Jun  9 15:25:40 2016;Thu Jun  9 15:27:37 2016;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;

