DA:A1:19:24:47:41,Thu Jun 09 21:10:58 2016,Thu Jun 09 21:10:58 2016,"Google, Inc."
26:7A:25:70:40:FE,Thu Jun 09 21:04:57 2016,Thu Jun 09 21:04:58 2016,Unknown
80:6C:1B:B0:0C:C5,Thu Jun 09 20:59:25 2016,Thu Jun 09 21:01:11 2016,"Motorola Mobility LLC, a Lenovo Company"
DA:A1:19:81:63:D0,Thu Jun 09 21:01:01 2016,Thu Jun 09 21:01:01 2016,"Google, Inc."
FC:C2:DE:47:65:FA,Thu Jun 09 20:57:27 2016,Thu Jun 09 20:58:51 2016,"Murata Manufacturing Co., Ltd."
DE:02:5B:C3:CE:82,Thu Jun 09 20:57:27 2016,Thu Jun 09 20:57:27 2016,Unknown
B8:EE:65:2E:98:2E,Thu Jun 09 20:53:49 2016,Thu Jun 09 20:53:50 2016,Liteon Technology Corporation
2E:88:56:E9:D5:60,Thu Jun 09 20:49:00 2016,Thu Jun 09 20:49:00 2016,Unknown
64:9A:BE:85:48:10,Thu Jun 09 20:47:19 2016,Thu Jun 09 20:48:38 2016,"Apple, Inc."
CC:44:63:AD:B1:1A,Thu Jun 09 20:48:06 2016,Thu Jun 09 20:48:10 2016,"Apple, Inc."
24:E3:14:B1:C5:CA,Thu Jun 09 20:32:28 2016,Thu Jun 09 20:48:11 2016,"Apple, Inc."
DA:A1:19:B5:19:EC,Thu Jun 09 20:43:13 2016,Thu Jun 09 20:43:13 2016,"Google, Inc."
38:71:DE:70:78:D2,Thu Jun 09 20:19:40 2016,Thu Jun 09 20:37:10 2016,"Apple, Inc."
84:7A:88:78:A1:75,Thu Jun 09 20:35:23 2016,Thu Jun 09 20:36:15 2016,HTC Corporation
68:D9:3C:47:40:B0,Thu Jun 09 20:30:47 2016,Thu Jun 09 20:34:51 2016,"Apple, Inc."
CC:20:E8:D9:FD:89,Thu Jun 09 20:27:09 2016,Thu Jun 09 20:34:13 2016,"Apple, Inc."
84:29:99:5F:EC:6E,Thu Jun 09 20:31:14 2016,Thu Jun 09 20:31:59 2016,"Apple, Inc."
FC:C2:DE:83:5C:5A,Thu Jun 09 20:29:20 2016,Thu Jun 09 20:31:23 2016,"Murata Manufacturing Co., Ltd."
F4:5C:89:B5:48:67,Thu Jun 09 20:27:46 2016,Thu Jun 09 20:27:46 2016,"Apple, Inc."
DA:A1:19:25:73:DC,Thu Jun 09 20:24:39 2016,Thu Jun 09 20:24:39 2016,"Google, Inc."
CC:95:D7:4F:93:E1,Thu Jun 09 20:17:09 2016,Thu Jun 09 20:20:10 2016,"Vizio, Inc"
90:68:C3:89:7C:10,Thu Jun 09 20:17:01 2016,Thu Jun 09 20:19:13 2016,"Motorola Mobility LLC, a Lenovo Company"
80:00:0B:7B:39:9B,Thu Jun 09 20:16:23 2016,Thu Jun 09 20:19:11 2016,Intel Corporate
4C:BB:58:23:33:E7,Thu Jun 09 20:16:40 2016,Thu Jun 09 20:18:12 2016,"Chicony Electronics Co., Ltd."
A4:67:06:F8:15:DA,Thu Jun 09 20:17:02 2016,Thu Jun 09 20:17:02 2016,"Apple, Inc."
5C:0A:5B:30:64:76,Thu Jun 09 20:16:05 2016,Thu Jun 09 20:16:19 2016,"SAMSUNG ELECTRO-MECHANICS CO., LTD."
6C:40:08:72:79:CE,Thu Jun 09 20:19:52 2016,Thu Jun 09 20:19:52 2016,"Apple, Inc."
FC:DB:B3:3C:3D:9E,Thu Jun 09 20:15:55 2016,Thu Jun 09 20:25:20 2016,"Murata Manufacturing Co., Ltd."
00:AE:FA:5D:83:DB,Thu Jun 09 20:34:05 2016,Thu Jun 09 20:34:05 2016,"Murata Manufacturing Co., Ltd."
A8:5B:78:5F:DD:24,Thu Jun 09 20:46:37 2016,Thu Jun 09 20:47:16 2016,"Apple, Inc."
B4:AE:2B:22:EE:37,Thu Jun 09 20:16:32 2016,Thu Jun 09 20:54:56 2016,Microsoft
54:4E:90:01:66:6E,Thu Jun 09 20:56:21 2016,Thu Jun 09 20:56:21 2016,"Apple, Inc."
48:D7:05:6C:0A:EF,Thu Jun 09 20:58:05 2016,Thu Jun 09 20:59:52 2016,"Apple, Inc."
9E:60:F8:81:4C:11,Thu Jun 09 21:00:09 2016,Thu Jun 09 21:01:07 2016,Unknown
E0:98:61:CF:1B:89,Thu Jun 09 21:02:38 2016,Thu Jun 09 21:02:55 2016,"Motorola Mobility LLC, a Lenovo Company"
4C:0B:BE:20:3E:20,Thu Jun 09 21:02:36 2016,Thu Jun 09 21:03:53 2016,Microsoft
BC:6C:21:25:89:BB,Thu Jun 09 21:04:01 2016,Thu Jun 09 21:04:41 2016,"Apple, Inc."
DA:A1:19:C6:0E:3F,Thu Jun 09 21:04:55 2016,Thu Jun 09 21:04:56 2016,"Google, Inc."
64:76:BA:CC:B0:D3,Thu Jun 09 21:04:57 2016,Thu Jun 09 21:05:05 2016,"Apple, Inc."
E4:25:E7:09:94:6B,Thu Jun 09 21:17:21 2016,Thu Jun 09 21:17:21 2016,"Apple, Inc."
84:8E:0C:1D:D6:42,Thu Jun 09 20:15:54 2016,Thu Jun 09 21:17:29 2016,"Apple, Inc."
92:C7:07:54:C3:67,Thu Jun 09 21:19:31 2016,Thu Jun 09 21:19:31 2016,Unknown
F0:27:2D:5A:36:86,Thu Jun 09 20:53:12 2016,Thu Jun 09 21:20:40 2016,Amazon Technologies Inc.
DA:A1:19:C8:20:F5,Thu Jun 09 21:23:05 2016,Thu Jun 09 21:23:05 2016,"Google, Inc."
00:56:CD:00:F3:0E,Thu Jun 09 21:25:06 2016,Thu Jun 09 21:25:19 2016,"Apple, Inc."
16:90:0E:13:B9:07,Thu Jun 09 21:28:06 2016,Thu Jun 09 21:28:06 2016,Unknown
7C:7A:91:1E:3F:C5,Thu Jun 09 20:23:43 2016,Thu Jun 09 21:29:05 2016,Intel Corporate
DA:A1:19:7F:C9:5A,Thu Jun 09 21:29:41 2016,Thu Jun 09 21:29:41 2016,"Google, Inc."
40:B0:FA:C1:3F:F4,Thu Jun 09 21:31:32 2016,Thu Jun 09 21:31:33 2016,LG Electronics
60:A4:4C:93:10:91,Thu Jun 09 20:26:15 2016,Thu Jun 09 21:33:04 2016,ASUSTek COMPUTER INC.
78:4B:87:79:DE:3B,Thu Jun 09 20:16:06 2016,Thu Jun 09 21:34:57 2016,"Murata Manufacturing Co., Ltd."
AC:7B:A1:96:0D:8E,Thu Jun 09 21:07:53 2016,Thu Jun 09 21:36:05 2016,Intel Corporate
24:A0:74:46:4D:12,Thu Jun 09 21:36:55 2016,Thu Jun 09 21:37:05 2016,"Apple, Inc."
78:F8:82:C0:3C:BA,Thu Jun 09 20:18:30 2016,Thu Jun 09 21:38:43 2016,LG Electronics (Mobile Communications)
92:C8:0A:DC:00:B9,Thu Jun 09 21:39:07 2016,Thu Jun 09 21:39:07 2016,Unknown
1E:BB:91:18:65:41,Thu Jun 09 21:40:17 2016,Thu Jun 09 21:40:31 2016,Unknown
F2:14:1A:F1:42:F7,Thu Jun 09 21:42:52 2016,Thu Jun 09 21:42:52 2016,Unknown
